date,pricePerSquareMeter,price,size,floor,numberOfRooms,location,address,type
7 mar 2017,108 065 kr/m²,6 700 000 kr,62 m²,3 tr,2 rum,Vasastan,Västmannagatan 55,Lägenhet
6 mar 2017,90 000 kr/m²,5 670 000 kr,63 m²,1 tr,2 rum,Vasastan,Atlasgatan 3,Lägenhet
4 mar 2017,114 474 kr/m²,4 350 000 kr,38 m²,1½ tr,2 rum,Vasastan,Falugatan 5,Lägenhet
4 mar 2017,80 741 kr/m²,4 360 000 kr,54 m²,4 tr,2 rum,Östermalm,Birger Jarlsgatan 115A,Lägenhet
4 mar 2017,88 571 kr/m²,6 200 000 kr,70 m²,5 tr,2 rum,Vasastan,Sankt Eriksgatan 99,Lägenhet
3 mar 2017,75 362 kr/m²,5 200 000 kr,69 m²,2 tr,3 rum,Vasastan Östermalm,Valhallavägen 2,Lägenhet
2 mar 2017,94 505 kr/m²,8 600 000 kr,91 m²,2 tr,3 rum,Vasastan,Döbelnsgatan 60,Lägenhet
2 mar 2017,80 000 kr/m²,5 760 000 kr,72 m²,4 tr,2 rum,Vasastan,Völundsgatan 3,Lägenhet
2 mar 2017,102 250 kr/m²,4 090 000 kr,40 m²,1 tr,2 rum,Vasastan,Observatoriegatan 10,Lägenhet
2 mar 2017,97 821 kr/m²,3 815 000 kr,39 m²,1½ tr,1 rum,Vasastan,Norrbackagatan 46,Lägenhet
2 mar 2017,90 909 kr/m²,5 000 000 kr,55 m²,1 tr,2 rum,Vasastan,Upplandsgatan 25B,Lägenhet
2 mar 2017,68 182 kr/m²,4 500 000 kr,66 m²,2 tr,2 rum,Vasastan,Sankt Eriksgatan 64,Lägenhet
2 mar 2017,133 000 kr/m²,2 660 000 kr,20 m²,2 tr,1 rum,Östermalm,Birger Jarlsgatan 104H,Lägenhet
2 mar 2017,95 833 kr/m²,6 900 000 kr,72 m²,2 tr,3 rum,Vasastan,Norrbackagatan 16,Lägenhet
2 mar 2017,120 000 kr/m²,4 560 000 kr,38 m²,2½ tr,2 rum,Vasastan,Sveavägen 99,Lägenhet
2 mar 2017,87 705 kr/m²,5 350 000 kr,61 m²,3 tr,3 rum,Vasastan,Norra Stationsgatan 115,Lägenhet
2 mar 2017,119 444 kr/m²,4 300 000 kr,36 m²,3 tr,2 rum,Vasastan,Tulegatan 22,Lägenhet
2 mar 2017,100 833 kr/m²,6 050 000 kr,60 m²,2 tr,2 rum,Vasastan,Dalagatan 76A,Lägenhet
2 mar 2017,98 148 kr/m²,5 300 000 kr,54 m²,1 tr,2 rum,Vasastan,Västmannagatan 87B,Lägenhet
2 mar 2017,93 056 kr/m²,6 700 000 kr,72 m²,3 tr,3 rum,Birkastan Vasastan,Norrbackagatan 26,Lägenhet
2 mar 2017,98 684 kr/m²,5 625 000 kr,57 m²,4 tr,2 rum,Vasastan,Rörstrandsgatan 42,Lägenhet
2 mar 2017,111 452 kr/m²,3 455 000 kr,31 m²,1 tr,1 rum,Vasastan,Frejgatan 19A,Lägenhet
2 mar 2017,92 188 kr/m²,2 950 000 kr,32 m²,2 tr,1 rum,Vasastan,Sankt Eriksplan 5,Lägenhet
